"Sr. No.","TIN","GSTIN/PID","Firm Name","Address","Assessment Circle","Tax Type","Return Form Type","RC Effective Date","Status","Cancellation Date","Type Of Dealer"
"203","33346268772","33DQBPK0760B1ZI","ELECTROWIN ELECTRICAL CONTRACTORS","9,Akshya Garden,Sri Nagar,Kolathupalayam Kuniamuthurcoimbatore,Tamil Nadu,641008","KUNIYAMUTHUR (Circle)","Value Added Tax","VAT FORM I,VAT FORM K","25/11/2014","Active","-","Composite Dealer (Section 6 : Work Contractor);Normal Dealer"
"204","33866203690","33AAIPV6464H1ZB","ELECTROWIN TRANSFORMERS","No.22,Na,Near Monark School,Pannimadai,Tamil Nadu,Coimbatore,641108","VADAVALLI (Circle)","Central Sales Tax","CST FORM NO.1","05/03/2007","Active","-","Normal Dealer"
"205","33866203690","33AAIPV6464H1ZB","ELECTROWIN TRANSFORMERS","No.22,Na,Near Monark School,Pannimadai,Tamil Nadu,Coimbatore,641108","VADAVALLI (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"206","33851400983","33ABWPS7341B1ZG","ELIXIR ELECTRONICS","17/5,Na,Arya Gowda Road,Chennai,Tamil Nadu,600033","KODAMBAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","28/04/2003","Active","-","Normal Dealer"
"207","33851400983","33ABWPS7341B1ZG","ELIXIR ELECTRONICS","17/5,Na,Arya Gowda Road,Chennai,Tamil Nadu,600033","KODAMBAKKAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"208","33231460106","33AAACE1352Q1ZN","ELMARC ELECTRODES (P) LTD","117,Na,Nelson Manickam Road (Ch.29),Chennai,Tamil Nadu,600029","ARUMBAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","17/07/2007","Active","-","Normal Dealer"
"209","33231460106","33AAACE1352Q1ZN","ELMARC ELECTRODES (P) LTD","117,Na,Nelson Manickam Road (Ch.29),Chennai,Tamil Nadu,600029","ARUMBAKKAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"210","33586475857","33AABFE3611N1ZO","EMKEY ELECTROPLATERS","21/1,Padmavathy Layout,Chinnavedampatti,Tamil Nadu,Coimbatore,641049","ANNUR (Circle)","Central Sales Tax","CST FORM NO.1","01/04/2017","Active","-","Normal Dealer"
"211","33586475857","33AABFE3611N1ZO","EMKEY ELECTROPLATERS","21/1,Padmavathy Layout,Chinnavedampatti,Tamil Nadu,Coimbatore,641049","ANNUR (Circle)","Value Added Tax","VAT FORM I","01/04/2017","Active","-","Normal Dealer"
"212","33332225187","33BWZPK7357N1ZG","ESKAY INDUSTRIES ELECTRONICS","61,Na,Nehru Street,Kalapatti Po,Tamil Nadu,Coimbatore,641048","AVARAMPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","27/04/2009","Active","-","Normal Dealer"
"213","33332225187","33BWZPK7357N1ZG","ESKAY INDUSTRIES ELECTRONICS","61,Na,Nehru Street,Kalapatti Po,Tamil Nadu,Coimbatore,641048","AVARAMPALAYAM (Circle)","Value Added Tax","VAT FORM I","27/04/2009","Active","-","Normal Dealer"
"214","33686241328","33AAACE4235C1ZC","EUREKA SYSTEMS AND ELECTRODES (P) LTD","111/5-A,Selvaraja Puram,Coimbatore,Tamil Nadu,641103","PALLADAM-2 (Circle)","Central Sales Tax","CST FORM NO.1","12/11/2003","Active","-","Normal Dealer"
"215","33686241328","33AAACE4235C1ZC","EUREKA SYSTEMS AND ELECTRODES (P) LTD","111/5-A,Selvaraja Puram,Coimbatore,Tamil Nadu,641103","PALLADAM-2 (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"216","33306444942","33CQEPP1394Q1Z8","EVEREST ELECTRONICS","5a3,Karur Raod,Palayam,Tamil Nadu,Dindigul,624620","DINDIGUL (RURAL) (Circle)","Value Added Tax","VAT FORM I","15/12/2016","Active","-","Normal Dealer"
"217","33721122034","33AEJPV8349C1Z8","EXCEL ELECTRONIC INDUSTRIES","279/281,Na,Poonamallee High Road,Chennai,Tamil Nadu,600010","KILPAUK (Circle)","Central Sales Tax","CST FORM NO.1","22/01/2007","Active","-","Normal Dealer"
"218","33721122034","33AEJPV8349C1Z8","EXCEL ELECTRONIC INDUSTRIES","279/281,Na,Poonamallee High Road,Chennai,Tamil Nadu,600010","KILPAUK (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"219","33880920380","33AAACF0420E1ZK","FORTRAN CIRKIT ELECTRONICS PVT LTD","44 & 53,Na,Perungudichennai,Tamil Nadu,600096","SHOLINGANALLUR (Circle)","Central Sales Tax","CST FORM NO.1","01/12/1988","Active","-","Normal Dealer"
"220","33880920380","33AAACF0420E1ZK","FORTRAN CIRKIT ELECTRONICS PVT LTD","44 & 53,Na,Perungudichennai,Tamil Nadu,600096","SHOLINGANALLUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"221","33184721807","33AABCG6665R1Z0","G T ELECTRONIC (INDIA) PRIVATE LIMITED","2/11,Na,Pondy Tindivanam Main Raod.,Vanur,Tamil Nadu,Villupuram,605111","TINDIVANAM (Circle)","Central Sales Tax","CST FORM NO.1","14/08/2002","Active","-","Normal Dealer"
"222","33184721807","33AABCG6665R1Z0","G T ELECTRONIC (INDIA) PRIVATE LIMITED","2/11,Na,Pondy Tindivanam Main Raod.,Vanur,Tamil Nadu,Villupuram,605111","TINDIVANAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"223","33852203367","33AEMPR2819C1ZM","GAARK ELECTRONIC CONTROLS","9/12a,Na,Rajagopal Thottam,Civil Aerodrome,Tamil Nadu,Coimbatore,641014","PEELAMEDU (NORTH) (Circle)","Central Sales Tax","CST FORM NO.1","18/11/2004","Active","-","Normal Dealer"
"224","33852203367","33AEMPR2819C1ZM","GAARK ELECTRONIC CONTROLS","9/12a,Na,Rajagopal Thottam,Civil Aerodrome,Tamil Nadu,Coimbatore,641014","PEELAMEDU (NORTH) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"225","33961442487","33AACCG6324J1ZR","GALAXY EARTHING ELECTRODES (P) LTD","2c/7,Na,Ambattur Industrial Estate Ambatturchennai,Tamil Nadu,600058","AMBATUR INDUSTRIAL ESTATE (Circle)","Central Sales Tax","CST FORM NO.1","01/08/2006","Active","-","Normal Dealer"
"226","33961442487","33AACCG6324J1ZR","GALAXY EARTHING ELECTRODES (P) LTD","2c/7,Na,Ambattur Industrial Estate Ambatturchennai,Tamil Nadu,600058","AMBATUR INDUSTRIAL ESTATE (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"227","33236342310","33AJTPD7295G1ZU","GANESH ELECTROMATION","2/140,1st Floor,Srinivasapurambharaniputhurchennai,Tamil Nadu,600122","KUNDRATHUR (Circle)","Central Sales Tax","CST FORM NO.1","22/09/2015","Active","-","Normal Dealer"
"228","33236342310","33AJTPD7295G1ZU","GANESH ELECTROMATION","2/140,1st Floor,Srinivasapurambharaniputhurchennai,Tamil Nadu,600122","KUNDRATHUR (Circle)","Value Added Tax","VAT FORM I","22/08/2015","Active","-","Normal Dealer"
"229","33532842579","33ACVPR8694N1Z9","GANESH ELECTRONICS","Door No:50,,Na,Alamarathu Kadu,Salem,Tamil Nadu,636004","ALAGAPURAM (Circle)","Central Sales Tax","CST FORM NO.1","23/10/2008","Active","-","Normal Dealer"
"230","33532842579","33ACVPR8694N1Z9","GANESH ELECTRONICS","Door No:50,,Na,Alamarathu Kadu,Salem,Tamil Nadu,636004","ALAGAPURAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"231","33546436091","33BLGPR1473L1ZT","GANGAI ELECTRONICS","111/50 C,North Raja Street,Sivagangai,Tamil Nadu,630561","SIVAGANGAI (Circle)","Value Added Tax","VAT FORM I","12/12/2016","Active","-","Normal Dealer"
"232","33821382036","33AAFFG1236K1ZN","GAYTHRI ELECTRONICS INSTRUMENTS ENGINEERING","28/5,Na,Seyon Street, Madurai Meenakshi Nagar,Chennai,Tamil Nadu,600087","RAMAPURAM (Circle)","Central Sales Tax","CST FORM NO.1","10/03/2008","Active","-","Normal Dealer"
"233","33821382036","33AAFFG1236K1ZN","GAYTHRI ELECTRONICS INSTRUMENTS ENGINEERING","28/5,Na,Seyon Street, Madurai Meenakshi Nagar,Chennai,Tamil Nadu,600087","RAMAPURAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"234","33550947770","33AAFCG2745N1ZF","GE TEK ELECTRONICS PVT LTD","No.13,Ground Floor,Evalappan Street,Tambaram Sanatoriumchennai,Tamil Nadu,Kancheepuram,600047","CHROMEPET (Circle)","Central Sales Tax","CST FORM NO.1","05/08/2013","Active","-","Normal Dealer"
"235","33550947770","33AAFCG2745N1ZF","GE TEK ELECTRONICS PVT LTD","No.13,Ground Floor,Evalappan Street,Tambaram Sanatoriumchennai,Tamil Nadu,Kancheepuram,600047","CHROMEPET (Circle)","Value Added Tax","VAT FORM I","26/07/2013","Active","-","Normal Dealer"
"236","33776243364","33DDZPS5206M1ZR","GENUINE ELECTRONIC CONTROL","3/91-A,Mathiyalagan Nagar,Sulur,Coimbatore,Tamil Nadu,641402","PALLADAM-2 (Circle)","Central Sales Tax","CST FORM NO.1","19/05/2005","Active","-","Normal Dealer"
"237","33776243364","33DDZPS5206M1ZR","GENUINE ELECTRONIC CONTROL","3/91-A,Mathiyalagan Nagar,Sulur,Coimbatore,Tamil Nadu,641402","PALLADAM-2 (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"238","33186490059","33ABEPL0972B1Z6","GLOBAL ELECTRONICS","306,Ceebros Belvedere,3rd Floor,School Main Road,Kumarasamy Nagar Main Road,Sholinganallur,Tamil Nadu,Kancheepuram,600119","KELAMBAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","21/05/2017","Active","-","Normal Dealer"
"239","33186490059","33ABEPL0972B1Z6","GLOBAL ELECTRONICS","306,Ceebros Belvedere,3rd Floor,School Main Road,Kumarasamy Nagar Main Road,Sholinganallur,Tamil Nadu,Kancheepuram,600119","KELAMBAKKAM (Circle)","Value Added Tax","VAT FORM I","21/05/2017","Active","-","Normal Dealer"
"240","33816387855","33GPOPS4606M1Z8","GLOBAL ELECTROTECHZ","1/81-5,Vellammal Colony,Nggo Colony,Tamil Nadu,Coimbatore,641022","PERIYANAICKENPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","06/06/2016","Active","-","Normal Dealer"
"241","33816387855","33GPOPS4606M1Z8","GLOBAL ELECTROTECHZ","1/81-5,Vellammal Colony,Nggo Colony,Tamil Nadu,Coimbatore,641022","PERIYANAICKENPALAYAM (Circle)","Value Added Tax","VAT FORM I","04/06/2016","Active","-","Normal Dealer"
"242","33751026909","33AALFG4458M1ZZ","GLOBAL ENGINEERING & ELECTRONICS CORPORATION","No 29,Na,First Street, New Colony,Vocnagaranna Nagar East,Tamil Nadu,Chennai,600102","KILPAUK (Circle)","Central Sales Tax","CST FORM NO.1","31/10/2013","Active","-","Normal Dealer"
"243","33751026909","33AALFG4458M1ZZ","GLOBAL ENGINEERING & ELECTRONICS CORPORATION","No 29,Na,First Street, New Colony,Vocnagaranna Nagar East,Tamil Nadu,Chennai,600102","KILPAUK (Circle)","Value Added Tax","VAT FORM I","31/10/2013","Active","-","Normal Dealer"
"244","33871803231","33AACCG5863A1Z0","GOLDEN ELECTRONIC CONTROLS INDIA PVT LTD","14/237-D,Na,Gandhiji Lay Out,Pollachi Main Road,Tamil Nadu,Coimbatore,641021","KUNIYAMUTHUR (Circle)","Central Sales Tax","CST FORM NO.1","12/05/2006","Active","-","Normal Dealer"
"245","33871803231","33AACCG5863A1Z0","GOLDEN ELECTRONIC CONTROLS INDIA PVT LTD","14/237-D,Na,Gandhiji Lay Out,Pollachi Main Road,Tamil Nadu,Coimbatore,641021","KUNIYAMUTHUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"246","33780500716","33AAHPU4624M1ZC","GOLECHA ELECTRO STAMPINGS","98,Na,Choolai High Road,Na,Tamil Nadu,Chennai,666666","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","12/01/1996","Active","-","Normal Dealer"
"247","33780500716","33AAHPU4624M1ZC","GOLECHA ELECTRO STAMPINGS","98,Na,Choolai High Road,Na,Tamil Nadu,Chennai,666666","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"248","33406429509","33BQOPG2964G1ZR","GOVINDARAJI ELECTRONICS","2/3,S.V.Complex,Mohammed Ali Club Road, Opp. Town Bustand,,Near J J Market,Tamil Nadu,Dharmapuri,636701","DHARMAPURI (Circle)","Central Sales Tax","CST FORM NO.1","03/11/2016","Active","-","Normal Dealer"
"249","33406429509","33BQOPG2964G1ZR","GOVINDARAJI ELECTRONICS","2/3,S.V.Complex,Mohammed Ali Club Road, Opp. Town Bustand,,Near J J Market,Tamil Nadu,Dharmapuri,636701","DHARMAPURI (Circle)","Value Added Tax","VAT FORM I","27/10/2016","Active","-","Normal Dealer"
"250","33356431551","33AAQFG1952M1Z1","GPS ELECTRONIC SOLUTIONS","2/5,Kamachi Amman Kovil Street, Sungam Chintahmani,Coimbatore,Tamil Nadu,641045","TRICHY ROAD (Circle)","Central Sales Tax","CST FORM NO.1","19/12/2016","Active","-","Normal Dealer"
"251","33356431551","33AAQFG1952M1Z1","GPS ELECTRONIC SOLUTIONS","2/5,Kamachi Amman Kovil Street, Sungam Chintahmani,Coimbatore,Tamil Nadu,641045","TRICHY ROAD (Circle)","Value Added Tax","VAT FORM I","19/12/2016","Active","-","Normal Dealer"
"252","33251800177","33AACFG1531A1ZD","GRAHALAKSHMI ELECTRONICS","39,Ist Cross Road,Na,Tiny Sector,Coimbatore,Tamil Nadu,641021","KUNIYAMUTHUR (Circle)","Central Sales Tax","CST FORM NO.1","30/06/1981","Active","-","Normal Dealer"
"253","33251800177","33AACFG1531A1ZD","GRAHALAKSHMI ELECTRONICS","39,Ist Cross Road,Na,Tiny Sector,Coimbatore,Tamil Nadu,641021","KUNIYAMUTHUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"254","33301404050","33AANCS0865M1ZW","GREEN PEARL ELECTRONICS PVT LTD","No.3,Na,Veerasamy St,Chennai,Tamil Nadu,600033","ASHOK NAGAR (Circle)","Central Sales Tax","CST FORM NO.1","06/01/2009","Active","-","Normal Dealer"
"255","33301404050","33AANCS0865M1ZW","GREEN PEARL ELECTRONICS PVT LTD","No.3,Na,Veerasamy St,Chennai,Tamil Nadu,600033","ASHOK NAGAR (Circle)","Value Added Tax","VAT FORM I","06/01/2009","Active","-","Normal Dealer"
"256","33203306566","33AQLPT0951C1ZZ","GUNA ELECTRONICS","762,Na,Krishnagiri Main Road ,Mathurkrishnagiri,Tamil Nadu,635203","KRISHNAGIRI-II (Circle)","Central Sales Tax","CST FORM NO.1","18/09/2012","Active","-","Normal Dealer"
"257","33203306566","33AQLPT0951C1ZZ","GUNA ELECTRONICS","762,Na,Krishnagiri Main Road ,Mathurkrishnagiri,Tamil Nadu,635203","KRISHNAGIRI-II (Circle)","Value Added Tax","VAT FORM I","10/08/2012","Active","-","Normal Dealer"
"258","33423322062","33AHLPJ6301K1ZF","GURU ELECTRONICS INDUSTRY","Plot No.34,Na,Sfno.608/3,Royakotta Road,Onnalwadi Village Hosur,Tamil Nadu,Krishnagiri,635109","HOSUR(NORTH)-I (Circle)","Central Sales Tax","CST FORM NO.1","15/02/2005","Active","-","Normal Dealer"
"259","33423322062","33AHLPJ6301K1ZF","GURU ELECTRONICS INDUSTRY","Plot No.34,Na,Sfno.608/3,Royakotta Road,Onnalwadi Village Hosur,Tamil Nadu,Krishnagiri,635109","HOSUR(NORTH)-I (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"260","33081363916","33AEFPG1290P2ZD","GURU KRUPA ELECTRONIK SERVICES","301/1,Na,School Rd., Mel Ayanambakkam,,Chennai,Tamil Nadu,Thiruvallur,600095","NOLAMBUR (Circle)","Central Sales Tax","CST FORM NO.1","27/06/2008","Active","-","Normal Dealer"
"261","33081363916","33AEFPG1290P2ZD","GURU KRUPA ELECTRONIK SERVICES","301/1,Na,School Rd., Mel Ayanambakkam,,Chennai,Tamil Nadu,Thiruvallur,600095","NOLAMBUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"262","33476401857","33CQCPP1376C1Z5","G.PRAKASH PROP.INNOVATIVE INSTRUMENTS & ELECTRONICS","27/21,Deepam Complex, Ist Floor,Tanjore Main Road,Thiruverumbur,Tamil Nadu,Tiruchirapalli,620013","TIRUVERUMBUR (Circle)","Central Sales Tax","CST FORM NO.1","07/07/2016","Active","-","Normal Dealer"
"263","33476401857","33CQCPP1376C1Z5","G.PRAKASH PROP.INNOVATIVE INSTRUMENTS & ELECTRONICS","27/21,Deepam Complex, Ist Floor,Tanjore Main Road,Thiruverumbur,Tamil Nadu,Tiruchirapalli,620013","TIRUVERUMBUR (Circle)","Value Added Tax","VAT FORM I","07/07/2016","Active","-","Normal Dealer"
"264","33146354242","33AGRPV7361A1Z6","G.S. ELECTRONICS","No.7/No.7,Radhakrishnan Street,Anna Nagar Pammal Chennai,Tamil Nadu,Kancheepuram,600075","PAMMAL (Circle)","Central Sales Tax","CST FORM NO.1","14/12/2015","Active","-","Normal Dealer"
"265","33146354242","33AGRPV7361A1Z6","G.S. ELECTRONICS","No.7/No.7,Radhakrishnan Street,Anna Nagar Pammal Chennai,Tamil Nadu,Kancheepuram,600075","PAMMAL (Circle)","Value Added Tax","VAT FORM I","14/12/2015","Active","-","Normal Dealer"
"266","33196462122","33CKPPK3226F1ZA","G.S.ELECTROSTATIC","2/53-A,Palani Andavar Kovil Strret, Nadupalayam,Peedampalli,Tamil Nadu,Coimbatore,641016","PALLADAM-2 (Circle)","Central Sales Tax","CST FORM NO.1","27/02/2017","Active","-","Normal Dealer"
"267","33196462122","33CKPPK3226F1ZA","G.S.ELECTROSTATIC","2/53-A,Palani Andavar Kovil Strret, Nadupalayam,Peedampalli,Tamil Nadu,Coimbatore,641016","PALLADAM-2 (Circle)","Value Added Tax","VAT FORM I","01/02/2017","Active","-","Normal Dealer"
"268","33601582365","33AFOPT5452Q1ZK","G.T. ELECTRONICS","6/27,Na,Madurai Veeran Koil Street,Chennai,Tamil Nadu,600017","NANDANAM (Circle)","Central Sales Tax","CST FORM NO.1","22/03/2007","Active","-","Normal Dealer"
"269","33601582365","33AFOPT5452Q1ZK","G.T. ELECTRONICS","6/27,Na,Madurai Veeran Koil Street,Chennai,Tamil Nadu,600017","NANDANAM (Circle)","Value Added Tax","VAT FORM I","15/03/2007","Active","-","Normal Dealer"
"270","33441003072","33AACCH3572M1ZG","HANSUM INDIA ELECTRONICS PRIVATE LIMITED","62-B,First Floor,Ormes Road,Kilpauk Chennai,Tamil Nadu,600010","AYANAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","06/04/2010","Active","-","Normal Dealer"
"271","33441003072","33AACCH3572M1ZG","HANSUM INDIA ELECTRONICS PRIVATE LIMITED","62-B,First Floor,Ormes Road,Kilpauk Chennai,Tamil Nadu,600010","AYANAVARAM (Circle)","Value Added Tax","VAT FORM I","01/04/2010","Active","-","Normal Dealer"
"272","33520061449","33AAAHR3536G1ZF","HARSHA ELECTRONICS PROP RAJENDRA KUMARDAGA HUF","06,Na,Vannier Street,Broadwaychennai,Tamil Nadu,600001","BROADWAY (Circle)","Central Sales Tax","CST FORM NO.1","01/04/2012","Active","-","Normal Dealer"
"273","33520061449","33AAAHR3536G1ZF","HARSHA ELECTRONICS PROP RAJENDRA KUMARDAGA HUF","06,Na,Vannier Street,Broadwaychennai,Tamil Nadu,600001","BROADWAY (Circle)","Value Added Tax","VAT FORM I","01/04/2012","Active","-","Normal Dealer"
"274","33590927669","33BFLPB0054E1Z5","HIMALAYA ELECTRONIC","5/38,Na,Nethaji 1st Cross Street, Moottaikaran Chavadi,Okkiam Thoraipakkamchennai,Tamil Nadu,600097","SHOLINGANALLUR (Circle)","Central Sales Tax","CST FORM NO.1","23/01/2012","Active","-","Normal Dealer"
"275","33590927669","33BFLPB0054E1Z5","HIMALAYA ELECTRONIC","5/38,Na,Nethaji 1st Cross Street, Moottaikaran Chavadi,Okkiam Thoraipakkamchennai,Tamil Nadu,600097","SHOLINGANALLUR (Circle)","Value Added Tax","VAT FORM I","23/01/2012","Active","-","Normal Dealer"
"276","33831980375","33ALWPS8472R1ZO","HINDUSTAN ELECTROMECH ENGINEERING COMPANY","No.83,Railway Line Road,1st Floor,Lakshmi Puramganpathy Coimbatore,Tamil Nadu,641006","GANAPATHY (Circle)","Central Sales Tax","CST FORM NO.1","20/06/2007","Active","-","Normal Dealer"
"277","33831980375","33ALWPS8472R1ZO","HINDUSTAN ELECTROMECH ENGINEERING COMPANY","No.83,Railway Line Road,1st Floor,Lakshmi Puramganpathy Coimbatore,Tamil Nadu,641006","GANAPATHY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"278","33440943708","33AHFPM7576F1Z6","HIPOWERR ELECTRONICS","Plot No 26a,Na,Kalaivanar Salai,Chennai,Tamil Nadu,Kancheepuram,600064","CHROMEPET (Circle)","Central Sales Tax","CST FORM NO.1","19/09/2005","Active","-","Normal Dealer"
"279","33440943708","33AHFPM7576F1Z6","HIPOWERR ELECTRONICS","Plot No 26a,Na,Kalaivanar Salai,Chennai,Tamil Nadu,Kancheepuram,600064","CHROMEPET (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"280","33122182865","33ACOPV9863A1Z6","HI-FI ELECTRONICS","27c,Na,8 Street Tatabd,Coimbatore,Tamil Nadu,641012","GANDHIPURAM (Circle)","Central Sales Tax","CST FORM NO.1","01/04/2006","Active","-","Normal Dealer"
"281","33122182865","33ACOPV9863A1Z6","HI-FI ELECTRONICS","27c,Na,8 Street Tatabd,Coimbatore,Tamil Nadu,641012","GANDHIPURAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"282","33452220368","33AAAFI5183J1ZE","IDEAL ELECTRODES","7a,Na,Sitra Road,Kalapatti,Tamil Nadu,Coimbatore,641048","AVARAMPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","31/10/2003","Active","-","Normal Dealer"
"283","33452220368","33AAAFI5183J1ZE","IDEAL ELECTRODES","7a,Na,Sitra Road,Kalapatti,Tamil Nadu,Coimbatore,641048","AVARAMPALAYAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"284","33676373125","33AAFFI6033E1ZT","IMS ELECTRONICS","No.28,First Floor, 4th Street,Bhavani Nagar, Nemilichery,Chrompet,Tamil Nadu,Kancheepuram,600044","CHROMEPET (Circle)","Central Sales Tax","CST FORM NO.1","30/03/2016","Active","-","Normal Dealer"
"285","33676373125","33AAFFI6033E1ZT","IMS ELECTRONICS","No.28,First Floor, 4th Street,Bhavani Nagar, Nemilichery,Chrompet,Tamil Nadu,Kancheepuram,600044","CHROMEPET (Circle)","Value Added Tax","VAT FORM I","30/03/2016","Active","-","Normal Dealer"
"286","33740926277","33AACCI0807J1ZX","INNOVATIVE ELECTROTECH (P) LTD","8,Na,I East Street, Kamaraj Nagar,Thiruvanmiyurchennai,Tamil Nadu,600041","THIRUVANMIYUR (Circle)","Central Sales Tax","CST FORM NO.1","12/05/2009","Active","-","Normal Dealer"
"287","33740926277","33AACCI0807J1ZX","INNOVATIVE ELECTROTECH (P) LTD","8,Na,I East Street, Kamaraj Nagar,Thiruvanmiyurchennai,Tamil Nadu,600041","THIRUVANMIYUR (Circle)","Value Added Tax","VAT FORM I","08/05/2009","Active","-","Normal Dealer"
"288","33663444926","33AAEFI9298L1ZQ","ISWARYA ELECTRONICS","No.3,Na,Annamalainagartrichy,Tamil Nadu,620018","WORAIYUR (Circle)","Central Sales Tax","CST FORM NO.1","31/08/2009","Active","-","Normal Dealer"
"289","33663444926","33AAEFI9298L1ZQ","ISWARYA ELECTRONICS","No.3,Na,Annamalainagartrichy,Tamil Nadu,620018","WORAIYUR (Circle)","Value Added Tax","VAT FORM I","31/08/2009","Active","-","Normal Dealer"
"290","33872100439","33AJCPG9319F1ZH","IVRG ELECTRONICS CORPORATION","177,Na,Avinashi Road,Coimbatore,Tamil Nadu,641014","PEELAMEDU (SOUTH) (Circle)","Central Sales Tax","CST FORM NO.1","20/11/1990","Active","-","Normal Dealer"
"291","33872100439","33AJCPG9319F1ZH","IVRG ELECTRONICS CORPORATION","177,Na,Avinashi Road,Coimbatore,Tamil Nadu,641014","PEELAMEDU (SOUTH) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"292","33576421732","33CKQPB1474H1Z8","J B ELECTRONICS & HOME APPLIANCES","165,South Car Street, Upsite Street,Kalugumalai,Tamil Nadu,Thoothukudi,628552","KOVILPATTI - II (Circle)","Value Added Tax","VAT FORM I","25/10/2016","Active","-","Normal Dealer"
"293","33316369669","33AALFJ5943N1ZU","JAAI SABHAREESH ELECTRONICS","492/492,Rangai Gowder Street,Coimbatore,Tamil Nadu,641001","BAZAAR STREET (Circle)","Central Sales Tax","CST FORM NO.1","28/03/2016","Active","-","Normal Dealer"
"294","33316369669","33AALFJ5943N1ZU","JAAI SABHAREESH ELECTRONICS","492/492,Rangai Gowder Street,Coimbatore,Tamil Nadu,641001","BAZAAR STREET (Circle)","Value Added Tax","VAT FORM I","23/03/2016","Active","-","Normal Dealer"
"295","33531825049","33AAGFJ1007Q1ZE","JAAZ ELECTRO DRIVE SYSTEMS","B 83,Na,Parsn Palm Legend,Ondipurdur,Tamil Nadu,Coimbatore,641016","SINGANALLUR(SOUTH) (Circle)","Central Sales Tax","CST FORM NO.1","09/01/2008","Active","-","Normal Dealer"
"296","33531825049","33AAGFJ1007Q1ZE","JAAZ ELECTRO DRIVE SYSTEMS","B 83,Na,Parsn Palm Legend,Ondipurdur,Tamil Nadu,Coimbatore,641016","SINGANALLUR(SOUTH) (Circle)","Value Added Tax","VAT FORM I","20/12/2007","Active","-","Normal Dealer"
"297","33276490244","33ATOPK1935F1ZR","JAI ELECTRONICS","Shop No.3,,Rosary Church Building,3,,Perumal Tank West,Madurai,Tamil Nadu,625001","NETHAJI ROAD-Madurai (Circle)","Value Added Tax","VAT FORM I","15/05/2017","Active","-","Normal Dealer"
"298","33740581539","33AACFJ4548C1ZR","JAISON ELECTRONICS","9,Na,Chennai,Tamil Nadu,600002","CHINTADRIPET (Circle)","Central Sales Tax","CST FORM NO.1","27/10/1999","Active","-","Normal Dealer"
"299","33740581539","33AACFJ4548C1ZR","JAISON ELECTRONICS","9,Na,Chennai,Tamil Nadu,600002","CHINTADRIPET (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"300","33361086439","33CZHPS0771A1ZM","JAYA SREE ELECTRO STRIPS","No.12 & 13,Na,Vadaperumbakkam,Tamil Nadu,600060","MADHAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","02/11/2009","Active","-","Normal Dealer"
"301","33361086439","33CZHPS0771A1ZM","JAYA SREE ELECTRO STRIPS","No.12 & 13,Na,Vadaperumbakkam,Tamil Nadu,600060","MADHAVARAM (Circle)","Value Added Tax","VAT FORM I","28/10/2009","Active","-","Normal Dealer"
